"NO_OUV","ADR","ACC_UNI","ASC","TYP_CHA","x","y","Longitude","lat"
203,"7833 Avenue des Érables , Montréal","1","0","Électricité",296016.06811564,5046091.8997367,-73.612507,45.554684
204,"5555 Boulevard Pie-IX , Montréal","NON","0","",299361.49558644,5046731.2214594,-73.569665,45.560471
205,"5625 Rue d' Iberville (MTL) , Montréal","NON","0","Électricité",298440.4800342,5044977.9921957,-73.58144,45.544687
206,"6525 41e Avenue , Montréal","NON","0","",299283.52422656,5048257.6888306,-73.570681,45.574206
207,"6550 Rue Molson , Montréal","NON","0","Électricité",297610.33621282,5045535.0959807,-73.592079,45.549692
208,"920 Rue Saint-Urbain , Montréal","NON","?","Électricité",300166.64700114,5040676.5969219,-73.559294,45.505995
210,"1260 Chemin Remembrance , Montréal","NON","0","",297630.83328563,5040106.101844,-73.591737,45.50084
211,"1216 Voie Camillien-Houde , Montréal","NON","0","",297597.26262714,5040540.9938302,-73.592173,45.504753
212,"4040 Avenue du Parc , Montréal","NON","0","",298234.33804477,5041328.7698853,-73.584031,45.511848
213,"4040 Avenue du Parc , Montréal","NON","0","Électricité",298262.53079925,5041398.4166092,-73.583671,45.512475
215,"1100 Voie Camillien-Houde , Montréal","NON","0","",297931.97941375,5040996.027761,-73.587896,45.508851
216,"1260 Chemin Remembrance , Montréal","1","0","Électricité",297519.25827399,5040188.1297633,-73.593166,45.501577
217,"2000 Chemin Remembrance , Montréal","NON","1","Gaz naturel",297047.04200899,5039838.0859687,-73.599203,45.498422
218,"1800 Chemin Remembrance , Montréal","NON","0","Électricité",297144.46290516,5040066.5580263,-73.59796,45.500479
219,"1445 Rue Saint-Mathieu , Montréal","NON","0","Électricité",298540.18571475,5039404.8941467,-73.580092,45.494539
222,"1492 Avenue Cedar , Montréal","NON","0","",298047.75281979,5039951.7269401,-73.5864,45.499455
224,"4280 Rue De Bullion , Montréal","NON","0","Électricité",298325.75416468,5042239.0577681,-73.582873,45.52004
225,"4480 Avenue du Parc , Montréal","NON","0","Électricité",297814.91102163,5041818.9772118,-73.589406,45.516255
226,"60 Chemin des Moulins , Montréal","NON","0","",301563.49983043,5038669.1531153,-73.541405,45.487939
227,"1451 Avenue du Docteur-Penfield , Montréal","NON","0","",298224.53904175,5039955.3172867,-73.584138,45.499489
228,"2330 Rue Sainte-Catherine O, Montréal","NON","0","Électricité",298244.13704779,5038816.647355,-73.583872,45.489243
229,"1525 Boulevard du Mont-Royal (OUT) , Montréal","NON","0","",296213.76382637,5041194.9569664,-73.609889,45.510622
230,"1115 Avenue Laurier E, Montréal","NON","0","Gaz naturel",297992.49733054,5043550.2043514,-73.587157,45.531835
231,"5200 Rue De Brébeuf , Montréal","NON","0","Électricité",298052.20691207,5043654.3744084,-73.586394,45.532773
233,"5035 Rue de Rouen , Montréal","NON","?","",301738.08375121,5046750.0632784,-73.539222,45.560655
237," Rue Saint-Ambroise , Montréal","NON","?","Électricité",298889.32056304,5037661.4758301,-73.575604,45.478854
239,"12120 Rue Grenet , Montréal","NON","0","Électricité",287828.27524152,5043355.5455582,-73.717283,45.52991
240,"700 Boulevard Rosemont , Montréal","NON","0","",297208.42861931,5043579.6571949,-73.597196,45.532092
242,"7645 20e Avenue , Montréal","1","0","Électricité",297068.67734983,5047555.7910666,-73.599048,45.567869
